Iteration,My,Sigma
453,3.23489705594271,1.47066275243709
454,3.22446362198833,1.48274646174549
455,3.21393742564778,1.48458654569799
456,3.20479243232735,1.490963618011
457,3.20393582392351,1.48839310699549
458,3.18783030369943,1.47740370334338
459,3.19810199852067,1.47699095185898
460,3.19530185585501,1.49191682139851
461,3.19946920585037,1.49515116391137
462,3.19946920585037,1.49515116391137
463,3.19740172796726,1.49778563165054
464,3.1960690035537,1.51053342121782
465,3.21108447056165,1.52097859340839
466,3.21108447056165,1.52097859340839
467,3.21222688249422,1.54749881692794
468,3.2196351479253,1.55322015740791
469,3.23481742896854,1.56194525783831
470,3.2267640372253,1.54992440541811
471,3.2146393998273,1.55869110990133
472,3.20465219101354,1.55314838302419
473,3.18985022467195,1.54878726112765
474,3.18759880028976,1.54609911057489
475,3.18873399496532,1.54123629554025
476,3.18484208308294,1.53899525192548
477,3.17596104757715,1.52737782016373
478,3.17295219851041,1.51388774926289
479,3.19958205512929,1.51336981177309
480,3.20339300148158,1.50793716689235
481,3.20781889431202,1.49263461454336
482,3.1860558702301,1.47428966157564
483,3.19645299697739,1.46434156674039
484,3.20427570573101,1.45844631315688
485,3.20117451907906,1.4468128729291
486,3.20222270575788,1.45188658824538
487,3.18469412192656,1.45347399164946
488,3.18469412192656,1.45347399164946
489,3.17883984645924,1.44064762833403
490,3.17883984645924,1.44064762833403
491,3.16505830574513,1.44916391259194
492,3.16505830574513,1.44916391259194
493,3.16422850138452,1.45770692912769
494,3.158590246838,1.47131197173126
495,3.13669040558868,1.47807265271926
496,3.13669040558868,1.47807265271926
497,3.12629280231321,1.47897825944595
498,3.12717862692512,1.47057805388124
499,3.11019345681503,1.46038537890475
500,3.11491881886718,1.46978057098123
501,3.09809970487989,1.46768999927858
502,3.09809970487989,1.46768999927858
503,3.09500048619609,1.47537284382007
504,3.09776785967286,1.45056719846991
505,3.08334080157238,1.44093559373197
506,3.09984725061286,1.464289353558
507,3.10021331411336,1.45550866421415
508,3.09841921880841,1.46020195783835
509,3.10801474655802,1.47278600045841
510,3.10801474655802,1.47278600045841
511,3.10830772378286,1.46557032196816
512,3.11686385379387,1.46397736662479
513,3.11741385481724,1.4702990526607
514,3.12289725959169,1.47842297713455
515,3.12798895654542,1.49248263303654
516,3.13289936907477,1.47815584133566
517,3.13289936907477,1.47815584133566
518,3.13759526454301,1.48918500773532
519,3.15564804832758,1.4625623944831
520,3.15092622351717,1.47396063118762
521,3.14548362150003,1.47824298851938
522,3.14579754116324,1.46207037464964
523,3.15113869458601,1.44783812577654
524,3.15162633189225,1.43480626586835
525,3.15092468358027,1.42091793301672
526,3.13911484613466,1.42492574975705
